user_id,event_dt,event_type,session_id,amount,transaction_type
user_00000,2025-11-02 06:41:06.488811,login,1,,
user_00000,2025-11-02 06:42:05.488811,screen_view,1,,
user_00000,2025-11-02 06:43:18.488811,screen_view,1,,
user_00000,2025-11-02 06:43:47.488811,screen_view,1,,
user_00000,2025-11-02 06:45:05.488811,button_click,1,,
user_00000,2025-11-02 06:46:22.269531,logout,1,,
user_00000,2025-11-05 03:00:06.488811,login,2,,
user_00000,2025-11-05 03:00:12.488811,screen_view,2,,
user_00000,2025-11-05 03:00:22.488811,screen_view,2,,
user_00000,2025-11-05 03:00:40.488811,screen_view,2,,
user_00000,2025-11-05 03:00:54.488811,screen_view,2,,
user_00000,2025-11-05 03:01:11.488811,screen_view,2,,
user_00000,2025-11-05 03:01:28.488811,button_click,2,,
user_00000,2025-11-05 03:01:40.488811,transaction,2,25228.56,transfer
user_00000,2025-11-05 03:01:46.488811,button_click,2,,
user_00000,2025-11-05 03:01:59.488811,button_click,2,,
user_00000,2025-11-05 03:02:09.488811,screen_view,2,,
user_00000,2025-11-05 03:02:48.724075,logout,2,,
user_00000,2025-11-07 18:08:06.488811,login,3,,
user_00000,2025-11-07 18:08:53.488811,screen_view,3,,
user_00000,2025-11-07 18:09:38.488811,button_click,3,,
user_00000,2025-11-07 18:10:13.488811,screen_view,3,,
user_00000,2025-11-07 18:10:32.488811,button_click,3,,
user_00000,2025-11-07 18:11:21.488811,screen_view,3,,
user_00000,2025-11-07 18:12:05.488811,button_click,3,,
user_00000,2025-11-07 18:12:38.488811,transaction,3,25143.43,transfer
user_00000,2025-11-07 18:13:17.380951,logout,3,,
user_00000,2025-11-09 23:53:06.488811,login,4,,
user_00000,2025-11-09 23:53:47.488811,button_click,4,,
user_00000,2025-11-09 23:54:32.488811,screen_view,4,,
user_00000,2025-11-09 23:55:34.488811,screen_view,4,,
user_00000,2025-11-09 23:56:01.488811,screen_view,4,,
user_00000,2025-11-09 23:57:00.488811,button_click,4,,
user_00000,2025-11-09 23:57:22.488811,screen_view,4,,
user_00000,2025-11-09 23:58:17.488811,screen_view,4,,
user_00000,2025-11-09 23:59:16.488811,screen_view,4,,
user_00000,2025-11-09 23:59:49.488811,button_click,4,,
user_00000,2025-11-10 00:00:25.488811,screen_view,4,,
user_00000,2025-11-10 00:01:48.552862,logout,4,,
user_00001,2025-10-28 00:13:06.488811,login,1,,
user_00001,2025-10-28 00:13:07.488811,screen_view,1,,
user_00001,2025-10-28 00:13:10.488811,screen_view,1,,
user_00001,2025-10-28 00:13:13.488811,button_click,1,,
user_00001,2025-10-28 00:13:14.488811,transaction,1,7216.86,payment
user_00001,2025-10-28 00:13:17.488811,transaction,1,39889.41,transfer
user_00001,2025-10-28 00:13:19.488811,screen_view,1,,
user_00001,2025-10-28 00:13:20.488811,transaction,1,8157.48,payment
user_00001,2025-10-28 00:13:23.488811,screen_view,1,,
user_00001,2025-10-28 00:13:24.488811,screen_view,1,,
user_00001,2025-10-28 00:13:29.439403,logout,1,,
user_00001,2025-10-30 14:19:06.488811,login,2,,
user_00001,2025-10-30 14:20:32.488811,screen_view,2,,
user_00001,2025-10-30 14:23:34.488811,screen_view,2,,
user_00001,2025-10-30 14:25:04.488811,transaction,2,46132.29,payment
user_00001,2025-10-30 14:26:58.488811,screen_view,2,,
user_00001,2025-10-30 14:29:22.488811,screen_view,2,,
user_00001,2025-10-30 14:32:29.488811,screen_view,2,,
